# 表記	よみ	出典ページ
# Source: 四科のまとめ 社会 巻末解答（ふりがな付き）
第五福竜丸事件	だいごふくりゅうまるじけん	231
放射線	ほうしゃせん	231
放射能	ほうしゃのう	231
核拡散防止条約	かくかくさんぼうしじょうやく	231
核兵器禁止条約	かくへいききんしじょうやく	231
ロシア連邦	ろしあれんぽう	231
北方領土	ほっぽうりょうど	231
中華人民共和国	ちゅうかじんみんきょうわこく	231
大韓民国	だいかんみんこく	231
南アフリカ共和国	みなみあふりかきょうわこく	233
ソビエト社会主義共和国連邦	そびえとしゃかいしゅぎきょうわこくれんぽう	233
化石	かせき	232
二酸化炭素	にさんかたんそ	232
温室	おんしつ	232
オゾン層	おぞんそう	232
紫外線	しがいせん	232
焼き畑	やきはた	232
酸性雨	さんせいう	232
硫黄	いおう	232
温室効果	おんしつこうか	232
地球温暖化	ちきゅうおんだんか	232
気候変動	きこうへんどう	232
白神山地	しらかみさんち	232
合掌造り	がっしょうづくり	232
原爆ドーム	げんばくどーむ	232
屋久島	やくしま	232
琉球	りゅうきゅう	232
赤道	せきどう	234
被選挙権	ひせんきょけん	234
小選挙区制	しょうせんきょくせい	234
比例代表制	ひれいだいひょうせい	234
違憲立法審査権	いけんりっぽうしんさけん	234
法令審査権	ほうれいしんさけん	234
